defect_id,source_system,department,asset_id,asset_type,division,section_id,section_name,km_location,severity,safety_impact,reported_date,due_date,overdue_days,estimated_duration_minutes,block_requirement,traffic_density,asset_criticality,status,detection_source,evidence_reference,resolved_date,actual_duration_minutes,quality_outcome
TMS-2026-0001,TMS,ENGINEERING,EN-SEC-C01-001,Track Circuit Bond,Demo Division,SEC-C01,Bhusawal–Jalgaon,349.983,LOW,2,2026-06-04,2026-07-19,0,30,TRAFFIC_BLOCK,LOW,HIGH,RESOLVED,Visual inspection,EVD-H-TMS-2026-0001,2026-06-28,53,PASS
TMS-2026-0002,TMS,ENGINEERING,EN-SEC-C01-005,Turnout,Demo Division,SEC-C01,Bhusawal–Jalgaon,347.584,MEDIUM,3,2025-08-29,2025-09-19,0,60,TRAFFIC_BLOCK,LOW,HIGH,RESOLVED,USFD,EVD-H-TMS-2026-0002,2025-09-01,43,PASS
TMS-2026-0003,TMS,ENGINEERING,EN-SEC-A02-014,Weld,Demo Division,SEC-A02,Wardha–Badnera,98.744,LOW,2,2025-09-19,2025-11-03,0,45,TRAFFIC_BLOCK,HIGH,MEDIUM,RESOLVED,Condition monitoring,EVD-H-TMS-2026-0003,2025-10-04,51,PASS
TMS-2026-0004,TMS,ENGINEERING,EN-SEC-C01-002,Turnout,Demo Division,SEC-C01,Bhusawal–Jalgaon,380.641,LOW,2,2025-10-21,2025-12-05,0,30,TRAFFIC_BLOCK,LOW,LOW,RESOLVED,USFD,EVD-H-TMS-2026-0004,2025-11-07,62,PASS
TMS-2026-0005,TMS,ENGINEERING,EN-SEC-C01-014,Sleeper,Demo Division,SEC-C01,Bhusawal–Jalgaon,338.958,LOW,2,2026-04-25,2026-06-09,0,30,TRAFFIC_BLOCK,LOW,MEDIUM,RESOLVED,Routine patrol,EVD-H-TMS-2026-0005,2026-05-20,36,PASS
TMS-2026-0006,TMS,ENGINEERING,EN-SEC-A01-018,Track Circuit Bond,Demo Division,SEC-A01,Nagpur–Wardha,43.431,MEDIUM,3,2026-04-03,2026-04-24,0,60,TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,USFD,EVD-H-TMS-2026-0006,2026-04-20,75,PASS
TMS-2026-0007,TMS,ENGINEERING,EN-SEC-A02-017,Ballast,Demo Division,SEC-A02,Wardha–Badnera,140.965,LOW,2,2025-12-20,2026-02-03,0,30,TRAFFIC_BLOCK,HIGH,MEDIUM,RESOLVED,USFD,EVD-H-TMS-2026-0007,2026-01-08,45,OBSERVATION_RAISED
TMS-2026-0008,TMS,ENGINEERING,EN-SEC-C01-003,Track Circuit Bond,Demo Division,SEC-C01,Bhusawal–Jalgaon,360.824,MEDIUM,3,2026-05-20,2026-06-10,0,45,TRAFFIC_BLOCK,LOW,HIGH,RESOLVED,Field survey,EVD-H-TMS-2026-0008,2026-06-03,79,PASS
TMS-2026-0009,TMS,ENGINEERING,EN-SEC-B02-010,Ballast,Demo Division,SEC-B02,Akola–Bhusawal,309.53,MEDIUM,3,2026-01-15,2026-02-05,0,60,TRAFFIC_BLOCK,MEDIUM,HIGH,RESOLVED,Routine patrol,EVD-H-TMS-2026-0009,2026-02-09,50,PASS
TMS-2026-0010,TMS,ENGINEERING,EN-SEC-B02-006,Bridge Approach,Demo Division,SEC-B02,Akola–Bhusawal,255.157,MEDIUM,3,2026-03-24,2026-04-14,0,45,TRAFFIC_BLOCK,MEDIUM,MEDIUM,RESOLVED,Routine patrol,EVD-H-TMS-2026-0010,2026-03-28,34,PASS
TMS-2026-0011,TMS,ENGINEERING,EN-SEC-C01-013,Bridge Approach,Demo Division,SEC-C01,Bhusawal–Jalgaon,370.486,LOW,2,2025-09-27,2025-11-11,0,60,TRAFFIC_BLOCK,LOW,LOW,RESOLVED,USFD,EVD-H-TMS-2026-0011,2025-10-12,83,PASS
TMS-2026-0012,TMS,ENGINEERING,EN-SEC-A02-020,Rail,Demo Division,SEC-A02,Wardha–Badnera,83.803,HIGH,4,2026-02-19,2026-02-26,0,90,TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,Field survey,EVD-H-TMS-2026-0012,2026-03-10,73,PASS
TMS-2026-0013,TMS,ENGINEERING,EN-SEC-B01-017,Rail,Demo Division,SEC-B01,Badnera–Akola,222.692,MEDIUM,3,2026-06-01,2026-06-22,0,45,TRAFFIC_BLOCK,MEDIUM,HIGH,RESOLVED,Field survey,EVD-H-TMS-2026-0013,2026-06-22,80,PASS
TMS-2026-0014,TMS,ENGINEERING,EN-SEC-B01-013,Sleeper,Demo Division,SEC-B01,Badnera–Akola,187.385,MEDIUM,3,2025-11-09,2025-11-30,0,90,TRAFFIC_BLOCK,MEDIUM,MEDIUM,RESOLVED,Visual inspection,EVD-H-TMS-2026-0014,2025-11-28,111,PASS
TMS-2026-0015,TMS,ENGINEERING,EN-SEC-B01-012,Ballast,Demo Division,SEC-B01,Badnera–Akola,166.014,MEDIUM,3,2026-05-17,2026-06-07,0,45,TRAFFIC_BLOCK,MEDIUM,HIGH,RESOLVED,Field survey,EVD-H-TMS-2026-0015,2026-06-03,66,PASS
TMS-2026-0016,TMS,ENGINEERING,EN-SEC-A02-013,Sleeper,Demo Division,SEC-A02,Wardha–Badnera,86.849,LOW,2,2026-02-07,2026-03-24,0,60,TRAFFIC_BLOCK,HIGH,LOW,RESOLVED,Field survey,EVD-H-TMS-2026-0016,2026-02-20,66,PASS
TMS-2026-0017,TMS,ENGINEERING,EN-SEC-A02-012,Sleeper,Demo Division,SEC-A02,Wardha–Badnera,148.727,HIGH,4,2026-01-10,2026-01-17,0,120,TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,USFD,EVD-H-TMS-2026-0017,2026-01-20,116,PASS
TMS-2026-0018,TMS,ENGINEERING,EN-SEC-B01-005,Track Circuit Bond,Demo Division,SEC-B01,Badnera–Akola,155.815,MEDIUM,3,2025-09-19,2025-10-10,0,90,TRAFFIC_BLOCK,MEDIUM,HIGH,RESOLVED,Routine patrol,EVD-H-TMS-2026-0018,2025-10-12,75,PASS
TMS-2026-0019,TMS,ENGINEERING,EN-SEC-B02-019,Rail,Demo Division,SEC-B02,Akola–Bhusawal,331.163,MEDIUM,3,2026-05-22,2026-06-12,0,90,TRAFFIC_BLOCK,MEDIUM,LOW,RESOLVED,USFD,EVD-H-TMS-2026-0019,2026-06-12,112,OBSERVATION_RAISED
TMS-2026-0020,TMS,ENGINEERING,EN-SEC-A01-011,Rail,Demo Division,SEC-A01,Nagpur–Wardha,43.049,MEDIUM,3,2026-04-21,2026-05-12,0,45,TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,Condition monitoring,EVD-H-TMS-2026-0020,2026-04-29,33,PASS
TMS-2026-0021,TMS,ENGINEERING,EN-SEC-A01-003,Rail,Demo Division,SEC-A01,Nagpur–Wardha,2.418,LOW,2,2025-09-10,2025-10-25,0,60,TRAFFIC_BLOCK,HIGH,LOW,RESOLVED,Field survey,EVD-H-TMS-2026-0021,2025-09-15,78,OBSERVATION_RAISED
TMS-2026-0022,TMS,ENGINEERING,EN-SEC-B02-014,Weld,Demo Division,SEC-B02,Akola–Bhusawal,333.62,LOW,2,2026-01-13,2026-02-27,0,60,TRAFFIC_BLOCK,MEDIUM,MEDIUM,RESOLVED,Condition monitoring,EVD-H-TMS-2026-0022,2026-02-04,86,PASS
TMS-2026-0023,TMS,ENGINEERING,EN-SEC-C01-018,Turnout,Demo Division,SEC-C01,Bhusawal–Jalgaon,381.672,CRITICAL,5,2026-04-03,2026-04-04,0,150,TRAFFIC_BLOCK,LOW,LOW,RESOLVED,Condition monitoring,EVD-H-TMS-2026-0023,2026-04-15,173,OBSERVATION_RAISED
TMS-2026-0024,TMS,ENGINEERING,EN-SEC-B02-003,Rail,Demo Division,SEC-B02,Akola–Bhusawal,305.202,MEDIUM,3,2025-09-05,2025-09-26,0,90,TRAFFIC_BLOCK,MEDIUM,LOW,RESOLVED,Routine patrol,EVD-H-TMS-2026-0024,2025-09-10,125,PASS
TMS-2026-0025,TMS,ENGINEERING,EN-SEC-A01-020,Rail,Demo Division,SEC-A01,Nagpur–Wardha,16.514,LOW,2,2026-02-04,2026-03-21,0,60,TRAFFIC_BLOCK,HIGH,LOW,RESOLVED,Visual inspection,EVD-H-TMS-2026-0025,2026-02-07,88,PASS
TMS-2026-0026,TMS,ENGINEERING,EN-SEC-A02-016,Sleeper,Demo Division,SEC-A02,Wardha–Badnera,146.725,MEDIUM,3,2026-06-14,2026-07-05,0,45,TRAFFIC_BLOCK,HIGH,LOW,RESOLVED,Field survey,EVD-H-TMS-2026-0026,2026-06-28,28,OBSERVATION_RAISED
TMS-2026-0027,TMS,ENGINEERING,EN-SEC-C01-015,Turnout,Demo Division,SEC-C01,Bhusawal–Jalgaon,340.749,MEDIUM,3,2026-01-24,2026-02-14,0,60,TRAFFIC_BLOCK,LOW,LOW,RESOLVED,Visual inspection,EVD-H-TMS-2026-0027,2026-01-29,48,PASS
TMS-2026-0028,TMS,ENGINEERING,EN-SEC-A02-008,Turnout,Demo Division,SEC-A02,Wardha–Badnera,153.604,MEDIUM,3,2026-05-20,2026-06-10,0,90,TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,Visual inspection,EVD-H-TMS-2026-0028,2026-05-21,86,PASS
TMS-2026-0029,TMS,ENGINEERING,EN-SEC-B01-007,Turnout,Demo Division,SEC-B01,Badnera–Akola,219.732,HIGH,4,2026-02-23,2026-03-02,0,120,TRAFFIC_BLOCK,MEDIUM,HIGH,RESOLVED,Field survey,EVD-H-TMS-2026-0029,2026-03-05,107,PASS
TMS-2026-0030,TMS,ENGINEERING,EN-SEC-A02-019,Ballast,Demo Division,SEC-A02,Wardha–Badnera,119.917,MEDIUM,3,2025-09-09,2025-09-30,0,60,TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,USFD,EVD-H-TMS-2026-0030,2025-09-17,85,PASS
TDMS-2026-0031,TDMS,TRACTION,TR-SEC-C01-004,Feeder,Demo Division,SEC-C01,Bhusawal–Jalgaon,342.413,MEDIUM,3,2025-11-03,2025-11-24,0,45,POWER_AND_TRAFFIC_BLOCK,LOW,HIGH,RESOLVED,Visual inspection,EVD-H-TDMS-2026-0031,2025-11-15,29,PASS
TDMS-2026-0032,TDMS,TRACTION,TR-SEC-A02-011,Feeder,Demo Division,SEC-A02,Wardha–Badnera,92.739,MEDIUM,3,2025-12-29,2026-01-19,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,RESOLVED,Visual inspection,EVD-H-TDMS-2026-0032,2026-01-01,62,PASS
TDMS-2026-0033,TDMS,TRACTION,TR-SEC-B01-017,Feeder,Demo Division,SEC-B01,Badnera–Akola,231.373,HIGH,4,2026-01-31,2026-02-07,0,120,POWER_AND_TRAFFIC_BLOCK,MEDIUM,HIGH,RESOLVED,Maintenance inspection,EVD-H-TDMS-2026-0033,2026-02-21,111,OBSERVATION_RAISED
TDMS-2026-0034,TDMS,TRACTION,TR-SEC-A02-005,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,90.418,CRITICAL,5,2026-06-11,2026-06-12,0,150,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,RESOLVED,Condition monitoring,EVD-H-TDMS-2026-0034,2026-06-21,142,PASS
