defect_id,source_system,department,asset_id,asset_type,division,section_id,section_name,km_location,severity,safety_impact,reported_date,due_date,overdue_days,estimated_duration_minutes,block_requirement,traffic_density,asset_criticality,status,detection_source,evidence_reference
TMS-2026-0001,TMS,ENGINEERING,EN-SEC-C01-001,Track Circuit Bond,Demo Division,SEC-C01,Bhusawal–Jalgaon,349.983,LOW,2,2026-08-29,2026-10-13,0,30,TRAFFIC_BLOCK,LOW,HIGH,OPEN,Visual inspection,EVD-TMS-2026-0001
TMS-2026-0002,TMS,ENGINEERING,EN-SEC-C01-005,Turnout,Demo Division,SEC-C01,Bhusawal–Jalgaon,347.584,MEDIUM,3,2026-08-09,2026-08-30,8,60,TRAFFIC_BLOCK,LOW,HIGH,ACKNOWLEDGED,USFD,EVD-TMS-2026-0002
TMS-2026-0003,TMS,ENGINEERING,EN-SEC-A02-014,Weld,Demo Division,SEC-A02,Wardha–Badnera,98.744,LOW,2,2026-09-04,2026-10-19,0,45,TRAFFIC_BLOCK,HIGH,MEDIUM,ACKNOWLEDGED,Condition monitoring,EVD-TMS-2026-0003
TMS-2026-0004,TMS,ENGINEERING,EN-SEC-C01-002,Turnout,Demo Division,SEC-C01,Bhusawal–Jalgaon,380.641,LOW,2,2026-08-06,2026-09-20,0,30,TRAFFIC_BLOCK,LOW,LOW,OPEN,USFD,EVD-TMS-2026-0004
TMS-2026-0005,TMS,ENGINEERING,EN-SEC-C01-014,Sleeper,Demo Division,SEC-C01,Bhusawal–Jalgaon,338.958,LOW,2,2026-08-13,2026-09-27,0,30,TRAFFIC_BLOCK,LOW,MEDIUM,OPEN,Routine patrol,EVD-TMS-2026-0005
TMS-2026-0006,TMS,ENGINEERING,EN-SEC-A01-018,Track Circuit Bond,Demo Division,SEC-A01,Nagpur–Wardha,43.431,MEDIUM,3,2026-09-07,2026-09-28,0,60,TRAFFIC_BLOCK,HIGH,HIGH,OPEN,USFD,EVD-TMS-2026-0006
TMS-2026-0007,TMS,ENGINEERING,EN-SEC-A02-017,Ballast,Demo Division,SEC-A02,Wardha–Badnera,140.965,LOW,2,2026-09-05,2026-10-20,0,30,TRAFFIC_BLOCK,HIGH,MEDIUM,PLANNED,USFD,EVD-TMS-2026-0007
TMS-2026-0008,TMS,ENGINEERING,EN-SEC-C01-003,Track Circuit Bond,Demo Division,SEC-C01,Bhusawal–Jalgaon,360.824,MEDIUM,3,2026-08-13,2026-09-03,4,45,TRAFFIC_BLOCK,LOW,HIGH,OPEN,Field survey,EVD-TMS-2026-0008
TMS-2026-0009,TMS,ENGINEERING,EN-SEC-B02-010,Ballast,Demo Division,SEC-B02,Akola–Bhusawal,309.53,MEDIUM,3,2026-08-13,2026-09-03,4,60,TRAFFIC_BLOCK,MEDIUM,HIGH,ACKNOWLEDGED,Routine patrol,EVD-TMS-2026-0009
TMS-2026-0010,TMS,ENGINEERING,EN-SEC-B02-006,Bridge Approach,Demo Division,SEC-B02,Akola–Bhusawal,255.157,MEDIUM,3,2026-08-31,2026-09-21,0,45,TRAFFIC_BLOCK,MEDIUM,MEDIUM,OPEN,Routine patrol,EVD-TMS-2026-0010
TMS-2026-0011,TMS,ENGINEERING,EN-SEC-C01-013,Bridge Approach,Demo Division,SEC-C01,Bhusawal–Jalgaon,370.486,LOW,2,2026-08-29,2026-10-13,0,60,TRAFFIC_BLOCK,LOW,LOW,OPEN,USFD,EVD-TMS-2026-0011
TMS-2026-0012,TMS,ENGINEERING,EN-SEC-A02-020,Rail,Demo Division,SEC-A02,Wardha–Badnera,83.803,HIGH,4,2026-08-18,2026-08-25,13,90,TRAFFIC_BLOCK,HIGH,HIGH,OPEN,Field survey,EVD-TMS-2026-0012
TMS-2026-0013,TMS,ENGINEERING,EN-SEC-B01-017,Rail,Demo Division,SEC-B01,Badnera–Akola,222.692,MEDIUM,3,2026-08-19,2026-09-09,0,45,TRAFFIC_BLOCK,MEDIUM,HIGH,OPEN,Field survey,EVD-TMS-2026-0013
TMS-2026-0014,TMS,ENGINEERING,EN-SEC-B01-013,Sleeper,Demo Division,SEC-B01,Badnera–Akola,187.385,MEDIUM,3,2026-08-06,2026-08-27,11,90,TRAFFIC_BLOCK,MEDIUM,MEDIUM,PLANNED,Visual inspection,EVD-TMS-2026-0014
TMS-2026-0015,TMS,ENGINEERING,EN-SEC-B01-012,Ballast,Demo Division,SEC-B01,Badnera–Akola,166.014,MEDIUM,3,2026-08-08,2026-08-29,9,45,TRAFFIC_BLOCK,MEDIUM,HIGH,OPEN,Field survey,EVD-TMS-2026-0015
TMS-2026-0016,TMS,ENGINEERING,EN-SEC-A02-013,Sleeper,Demo Division,SEC-A02,Wardha–Badnera,86.849,LOW,2,2026-08-10,2026-09-24,0,60,TRAFFIC_BLOCK,HIGH,LOW,OPEN,Field survey,EVD-TMS-2026-0016
TMS-2026-0017,TMS,ENGINEERING,EN-SEC-A02-012,Sleeper,Demo Division,SEC-A02,Wardha–Badnera,148.727,HIGH,4,2026-09-04,2026-09-11,0,120,TRAFFIC_BLOCK,HIGH,HIGH,OPEN,USFD,EVD-TMS-2026-0017
