defect_id,source_system,department,asset_id,asset_type,division,section_id,section_name,km_location,severity,safety_impact,reported_date,due_date,overdue_days,estimated_duration_minutes,block_requirement,traffic_density,asset_criticality,status,detection_source,evidence_reference
TDMS-2026-0031,TDMS,TRACTION,TR-SEC-C01-004,Feeder,Demo Division,SEC-C01,Bhusawal–Jalgaon,342.413,MEDIUM,3,2026-09-07,2026-09-28,0,45,POWER_AND_TRAFFIC_BLOCK,LOW,HIGH,OPEN,Visual inspection,EVD-TDMS-2026-0031
TDMS-2026-0032,TDMS,TRACTION,TR-SEC-A02-011,Feeder,Demo Division,SEC-A02,Wardha–Badnera,92.739,MEDIUM,3,2026-08-08,2026-08-29,9,60,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,OPEN,Visual inspection,EVD-TDMS-2026-0032
TDMS-2026-0033,TDMS,TRACTION,TR-SEC-B01-017,Feeder,Demo Division,SEC-B01,Badnera–Akola,231.373,HIGH,4,2026-09-01,2026-09-08,0,120,POWER_AND_TRAFFIC_BLOCK,MEDIUM,HIGH,OPEN,Maintenance inspection,EVD-TDMS-2026-0033
TDMS-2026-0034,TDMS,TRACTION,TR-SEC-A02-005,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,90.418,CRITICAL,5,2026-08-08,2026-08-09,29,150,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,ACKNOWLEDGED,Condition monitoring,EVD-TDMS-2026-0034
TDMS-2026-0035,TDMS,TRACTION,TR-SEC-A01-017,Mast,Demo Division,SEC-A01,Nagpur–Wardha,73.765,HIGH,4,2026-09-05,2026-09-12,0,90,POWER_AND_TRAFFIC_BLOCK,HIGH,LOW,PLANNED,Maintenance inspection,EVD-TDMS-2026-0035
TDMS-2026-0036,TDMS,TRACTION,TR-SEC-A02-004,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,108.903,MEDIUM,3,2026-09-04,2026-09-25,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,ACKNOWLEDGED,Condition monitoring,EVD-TDMS-2026-0036
TDMS-2026-0037,TDMS,TRACTION,TR-SEC-A01-003,Mast,Demo Division,SEC-A01,Nagpur–Wardha,69.951,MEDIUM,3,2026-08-27,2026-09-17,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,PLANNED,Maintenance inspection,EVD-TDMS-2026-0037
TDMS-2026-0038,TDMS,TRACTION,TR-SEC-A02-008,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,131.257,LOW,2,2026-08-27,2026-10-11,0,30,POWER_AND_TRAFFIC_BLOCK,HIGH,HIGH,OPEN,Field survey,EVD-TDMS-2026-0038
TDMS-2026-0039,TDMS,TRACTION,TR-SEC-A02-009,Neutral Section,Demo Division,SEC-A02,Wardha–Badnera,113.778,LOW,2,2026-08-10,2026-09-24,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,PLANNED,Field survey,EVD-TDMS-2026-0039
TDMS-2026-0040,TDMS,TRACTION,TR-SEC-A01-014,Mast,Demo Division,SEC-A01,Nagpur–Wardha,1.615,LOW,2,2026-08-13,2026-09-27,0,60,POWER_AND_TRAFFIC_BLOCK,HIGH,MEDIUM,OPEN,Visual inspection,EVD-TDMS-2026-0040
