file_name,purpose,row_count,columns
assets.csv,Master asset register,300,"asset_id, department, asset_type, division, section_id, section_name, km_location, traffic_density, asset_age_years, condition_index, asset_criticality"
audit_log.csv,Traceability events,36,"audit_id, event_time, actor, action, entity_id, details"
bdms_existing_blocks.csv,Existing/requested block plan,24,"block_id, section_id, planned_start, planned_end, departments, status, block_type, purpose"
coa_block_availability.csv,Derived candidate corridor windows,3360,"window_id, section_id, start_time, end_time, scheduled_train_count, forecast_utilization_percent, availability_status, traffic_impact_level"
defects_all.csv,Unified active defects,90,"defect_id, source_system, department, asset_id, asset_type, division, section_id, section_name, km_location, severity, safety_impact, reported_date, due_date, overdue_days, estimated_duration_minutes, block_requirement, traffic_density, asset_criticality, status, detection_source, evidence_reference"
defects_smms.csv,S&T/SMMS defects,30,"defect_id, source_system, department, asset_id, asset_type, division, section_id, section_name, km_location, severity, safety_impact, reported_date, due_date, overdue_days, estimated_duration_minutes, block_requirement, traffic_density, asset_criticality, status, detection_source, evidence_reference"
defects_tdms.csv,Traction/TDMS defects,30,"defect_id, source_system, department, asset_id, asset_type, division, section_id, section_name, km_location, severity, safety_impact, reported_date, due_date, overdue_days, estimated_duration_minutes, block_requirement, traffic_density, asset_criticality, status, detection_source, evidence_reference"
defects_tms.csv,Engineering/TMS defects,30,"defect_id, source_system, department, asset_id, asset_type, division, section_id, section_name, km_location, severity, safety_impact, reported_date, due_date, overdue_days, estimated_duration_minutes, block_requirement, traffic_density, asset_criticality, status, detection_source, evidence_reference"
goods_forecast.csv,Forecast freight demand,1120,"date, section_id, start_hour, end_hour, forecast_freight_load_index, forecast_utilization_percent, forecast_freight_trains"
inspections.csv,Surveillance/inspection outcomes,18,"inspection_id, work_order_id, inspector_team, inspection_date, outcome, remarks, evidence_reference"
maintenance_history.csv,Historical resolved tasks for analytics/ML,90,"defect_id, source_system, department, asset_id, asset_type, division, section_id, section_name, km_location, severity, safety_impact, reported_date, due_date, overdue_days, estimated_duration_minutes, block_requirement, traffic_density, asset_criticality, status, detection_source, evidence_reference, resolved_date, actual_duration_minutes, quality_outcome"
observations.csv,Quality or compliance issues,6,"observation_id, inspection_id, work_order_id, severity, description, status, due_date, owner"
resource_availability.csv,Daily capacity/material readiness,420,"date, section_id, department, teams_available, equipment_status, material_status"
teams.csv,Maintenance teams,7,"team_id, team_name, department, base_section_id, availability_status, primary_equipment, shift"
train_timetable.csv,COA-style scheduled traffic,2408,"train_id, train_number, service_date, section_id, section_name, train_type, scheduled_entry, scheduled_exit, historical_delay_minutes, direction, operational_status"
work_execution.csv,Field execution updates,36,"execution_id, work_order_id, department, status, planned_start, actual_start, actual_end, delay_reason, evidence_reference"
work_orders.csv,Maintenance tasks derived from defects,90,"work_order_id, defect_id, department, section_id, km_location, estimated_duration_minutes, block_requirement, required_team, readiness_status, work_order_status, priority_input"
