defect_id,source_system,department,asset_id,asset_type,division,section_id,section_name,km_location,severity,safety_impact,reported_date,due_date,overdue_days,estimated_duration_minutes,block_requirement,traffic_density,asset_criticality,status,detection_source,evidence_reference
SMMS-2026-0061,SMMS,S&T,S&-SEC-C01-014,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,386.2,LOW,2,2026-09-01,2026-10-16,0,60,TRAFFIC_BLOCK,LOW,HIGH,ACKNOWLEDGED,Routine patrol,EVD-SMMS-2026-0061
SMMS-2026-0062,SMMS,S&T,S&-SEC-B02-008,Axle Counter,Demo Division,SEC-B02,Akola–Bhusawal,333.664,LOW,2,2026-08-30,2026-10-14,0,60,TRAFFIC_BLOCK,MEDIUM,HIGH,ACKNOWLEDGED,Maintenance inspection,EVD-SMMS-2026-0062
SMMS-2026-0063,SMMS,S&T,S&-SEC-A01-007,Electronic Interlocking,Demo Division,SEC-A01,Nagpur–Wardha,31.769,LOW,2,2026-08-19,2026-10-03,0,60,TRAFFIC_BLOCK,HIGH,LOW,ACKNOWLEDGED,Field survey,EVD-SMMS-2026-0063
SMMS-2026-0064,SMMS,S&T,S&-SEC-B02-005,Electronic Interlocking,Demo Division,SEC-B02,Akola–Bhusawal,304.006,HIGH,4,2026-08-12,2026-08-19,19,90,TRAFFIC_BLOCK,MEDIUM,LOW,ACKNOWLEDGED,Field survey,EVD-SMMS-2026-0064
SMMS-2026-0065,SMMS,S&T,S&-SEC-C01-017,Axle Counter,Demo Division,SEC-C01,Bhusawal–Jalgaon,340.281,MEDIUM,3,2026-08-28,2026-09-18,0,90,TRAFFIC_BLOCK,LOW,HIGH,OPEN,Routine patrol,EVD-SMMS-2026-0065
SMMS-2026-0066,SMMS,S&T,S&-SEC-C01-004,Signal,Demo Division,SEC-C01,Bhusawal–Jalgaon,340.889,LOW,2,2026-08-10,2026-09-24,0,45,TRAFFIC_BLOCK,LOW,LOW,OPEN,Maintenance inspection,EVD-SMMS-2026-0066
SMMS-2026-0067,SMMS,S&T,S&-SEC-C01-019,Electronic Interlocking,Demo Division,SEC-C01,Bhusawal–Jalgaon,371.409,HIGH,4,2026-08-05,2026-08-12,26,120,TRAFFIC_BLOCK,LOW,MEDIUM,OPEN,Routine patrol,EVD-SMMS-2026-0067
SMMS-2026-0068,SMMS,S&T,S&-SEC-B01-003,Track Circuit,Demo Division,SEC-B01,Badnera–Akola,183.143,HIGH,4,2026-08-22,2026-08-29,9,90,SIGNALLING_AND_TRAFFIC_BLOCK,MEDIUM,MEDIUM,OPEN,Field survey,EVD-SMMS-2026-0068
SMMS-2026-0069,SMMS,S&T,S&-SEC-A02-006,Point Machine,Demo Division,SEC-A02,Wardha–Badnera,128.041,MEDIUM,3,2026-08-16,2026-09-06,1,60,SIGNALLING_AND_TRAFFIC_BLOCK,HIGH,LOW,ACKNOWLEDGED,Condition monitoring,EVD-SMMS-2026-0069
SMMS-2026-0070,SMMS,S&T,S&-SEC-A01-016,Electronic Interlocking,Demo Division,SEC-A01,Nagpur–Wardha,61.183,MEDIUM,3,2026-08-20,2026-09-10,0,60,TRAFFIC_BLOCK,HIGH,LOW,ACKNOWLEDGED,Routine patrol,EVD-SMMS-2026-0070
