asset_id,department,asset_type,division,section_id,section_name,km_location,traffic_density,asset_age_years,condition_index,asset_criticality
EN-SEC-A01-001,ENGINEERING,Track Circuit Bond,Demo Division,SEC-A01,Nagpur–Wardha,8.762,HIGH,ACTIVE,4,HIGH
EN-SEC-A01-002,ENGINEERING,Weld,Demo Division,SEC-A01,Nagpur–Wardha,57.397,HIGH,ACTIVE,10,MEDIUM
EN-SEC-A01-003,ENGINEERING,Rail,Demo Division,SEC-A01,Nagpur–Wardha,2.418,HIGH,ACTIVE,4,LOW
EN-SEC-A01-004,ENGINEERING,Turnout,Demo Division,SEC-A01,Nagpur–Wardha,2.164,HIGH,ACTIVE,12,LOW
EN-SEC-A01-005,ENGINEERING,Track Circuit Bond,Demo Division,SEC-A01,Nagpur–Wardha,42.496,HIGH,ACTIVE,8,LOW
EN-SEC-A01-006,ENGINEERING,Sleeper,Demo Division,SEC-A01,Nagpur–Wardha,63.074,HIGH,ACTIVE,13,HIGH
EN-SEC-A01-007,ENGINEERING,Track Circuit Bond,Demo Division,SEC-A01,Nagpur–Wardha,32.979,HIGH,ACTIVE,3,HIGH
EN-SEC-A01-008,ENGINEERING,Bridge Approach,Demo Division,SEC-A01,Nagpur–Wardha,26.287,HIGH,ACTIVE,7,HIGH
EN-SEC-A01-009,ENGINEERING,Sleeper,Demo Division,SEC-A01,Nagpur–Wardha,66.035,HIGH,ACTIVE,13,HIGH
EN-SEC-A01-010,ENGINEERING,Track Circuit Bond,Demo Division,SEC-A01,Nagpur–Wardha,35.843,HIGH,ACTIVE,15,MEDIUM
EN-SEC-A01-011,ENGINEERING,Rail,Demo Division,SEC-A01,Nagpur–Wardha,43.049,HIGH,ACTIVE,10,HIGH
EN-SEC-A01-012,ENGINEERING,Track Circuit Bond,Demo Division,SEC-A01,Nagpur–Wardha,5.511,HIGH,ACTIVE,13,MEDIUM
EN-SEC-A01-013,ENGINEERING,Rail,Demo Division,SEC-A01,Nagpur–Wardha,66.644,HIGH,ACTIVE,7,MEDIUM
EN-SEC-A01-014,ENGINEERING,Ballast,Demo Division,SEC-A01,Nagpur–Wardha,49.556,HIGH,ACTIVE,3,MEDIUM
EN-SEC-A01-015,ENGINEERING,Sleeper,Demo Division,SEC-A01,Nagpur–Wardha,16.4,HIGH,ACTIVE,12,LOW
EN-SEC-A01-016,ENGINEERING,Track Circuit Bond,Demo Division,SEC-A01,Nagpur–Wardha,5.655,HIGH,ACTIVE,9,LOW
EN-SEC-A01-017,ENGINEERING,Weld,Demo Division,SEC-A01,Nagpur–Wardha,12.813,HIGH,UNDER_MAINTENANCE,5,LOW
EN-SEC-A01-018,ENGINEERING,Track Circuit Bond,Demo Division,SEC-A01,Nagpur–Wardha,43.431,HIGH,ACTIVE,14,HIGH
EN-SEC-A01-019,ENGINEERING,Weld,Demo Division,SEC-A01,Nagpur–Wardha,64.036,HIGH,ACTIVE,7,MEDIUM
EN-SEC-A01-020,ENGINEERING,Rail,Demo Division,SEC-A01,Nagpur–Wardha,16.514,HIGH,ACTIVE,4,LOW
TR-SEC-A01-001,TRACTION,Mast,Demo Division,SEC-A01,Nagpur–Wardha,30.88,HIGH,UNDER_MAINTENANCE,3,MEDIUM
TR-SEC-A01-002,TRACTION,Catenary Wire,Demo Division,SEC-A01,Nagpur–Wardha,19.288,HIGH,ACTIVE,12,LOW
TR-SEC-A01-003,TRACTION,Mast,Demo Division,SEC-A01,Nagpur–Wardha,69.951,HIGH,UNDER_MAINTENANCE,6,HIGH
TR-SEC-A01-004,TRACTION,Catenary Wire,Demo Division,SEC-A01,Nagpur–Wardha,39.741,HIGH,ACTIVE,13,HIGH
TR-SEC-A01-005,TRACTION,Neutral Section,Demo Division,SEC-A01,Nagpur–Wardha,8.631,HIGH,ACTIVE,13,LOW
TR-SEC-A01-006,TRACTION,Mast,Demo Division,SEC-A01,Nagpur–Wardha,46.501,HIGH,UNDER_MAINTENANCE,7,LOW
TR-SEC-A01-007,TRACTION,Mast,Demo Division,SEC-A01,Nagpur–Wardha,41.265,HIGH,ACTIVE,11,LOW
TR-SEC-A01-008,TRACTION,OHE Contact Wire,Demo Division,SEC-A01,Nagpur–Wardha,53.137,HIGH,ACTIVE,13,LOW
TR-SEC-A01-009,TRACTION,Section Insulator,Demo Division,SEC-A01,Nagpur–Wardha,8.779,HIGH,UNDER_MAINTENANCE,3,MEDIUM
TR-SEC-A01-010,TRACTION,OHE Contact Wire,Demo Division,SEC-A01,Nagpur–Wardha,74.307,HIGH,ACTIVE,9,HIGH
TR-SEC-A01-011,TRACTION,Dropper,Demo Division,SEC-A01,Nagpur–Wardha,71.102,HIGH,ACTIVE,14,LOW
TR-SEC-A01-012,TRACTION,Dropper,Demo Division,SEC-A01,Nagpur–Wardha,47.478,HIGH,ACTIVE,6,HIGH
TR-SEC-A01-013,TRACTION,Dropper,Demo Division,SEC-A01,Nagpur–Wardha,74.282,HIGH,ACTIVE,10,MEDIUM
TR-SEC-A01-014,TRACTION,Mast,Demo Division,SEC-A01,Nagpur–Wardha,1.615,HIGH,ACTIVE,15,MEDIUM
TR-SEC-A01-015,TRACTION,Catenary Wire,Demo Division,SEC-A01,Nagpur–Wardha,4.607,HIGH,ACTIVE,2,LOW
TR-SEC-A01-016,TRACTION,Mast,Demo Division,SEC-A01,Nagpur–Wardha,63.587,HIGH,ACTIVE,3,LOW
TR-SEC-A01-017,TRACTION,Mast,Demo Division,SEC-A01,Nagpur–Wardha,73.765,HIGH,ACTIVE,5,LOW
TR-SEC-A01-018,TRACTION,Neutral Section,Demo Division,SEC-A01,Nagpur–Wardha,47.293,HIGH,ACTIVE,15,LOW
TR-SEC-A01-019,TRACTION,Neutral Section,Demo Division,SEC-A01,Nagpur–Wardha,56.889,HIGH,ACTIVE,12,MEDIUM
TR-SEC-A01-020,TRACTION,Mast,Demo Division,SEC-A01,Nagpur–Wardha,77.523,HIGH,ACTIVE,8,LOW
S&-SEC-A01-001,S&T,Relay,Demo Division,SEC-A01,Nagpur–Wardha,9.514,HIGH,ACTIVE,2,MEDIUM
S&-SEC-A01-002,S&T,Signal,Demo Division,SEC-A01,Nagpur–Wardha,45.87,HIGH,ACTIVE,10,HIGH
S&-SEC-A01-003,S&T,Signal,Demo Division,SEC-A01,Nagpur–Wardha,5.623,HIGH,ACTIVE,4,HIGH
S&-SEC-A01-004,S&T,Signal,Demo Division,SEC-A01,Nagpur–Wardha,66.98,HIGH,ACTIVE,9,HIGH
S&-SEC-A01-005,S&T,Axle Counter,Demo Division,SEC-A01,Nagpur–Wardha,52.146,HIGH,ACTIVE,9,HIGH
S&-SEC-A01-006,S&T,Cable,Demo Division,SEC-A01,Nagpur–Wardha,72.883,HIGH,UNDER_MAINTENANCE,4,MEDIUM
S&-SEC-A01-007,S&T,Electronic Interlocking,Demo Division,SEC-A01,Nagpur–Wardha,31.769,HIGH,ACTIVE,2,LOW
S&-SEC-A01-008,S&T,Relay,Demo Division,SEC-A01,Nagpur–Wardha,27.664,HIGH,UNDER_MAINTENANCE,8,LOW
S&-SEC-A01-009,S&T,Signal,Demo Division,SEC-A01,Nagpur–Wardha,52.488,HIGH,ACTIVE,1,MEDIUM
S&-SEC-A01-010,S&T,Cable,Demo Division,SEC-A01,Nagpur–Wardha,26.498,HIGH,ACTIVE,4,HIGH
S&-SEC-A01-011,S&T,Point Machine,Demo Division,SEC-A01,Nagpur–Wardha,41.823,HIGH,ACTIVE,7,HIGH
S&-SEC-A01-012,S&T,Axle Counter,Demo Division,SEC-A01,Nagpur–Wardha,36.092,HIGH,ACTIVE,8,LOW
S&-SEC-A01-013,S&T,Signal,Demo Division,SEC-A01,Nagpur–Wardha,4.036,HIGH,ACTIVE,2,HIGH
S&-SEC-A01-014,S&T,Point Machine,Demo Division,SEC-A01,Nagpur–Wardha,31.719,HIGH,UNDER_MAINTENANCE,4,MEDIUM
S&-SEC-A01-015,S&T,Signal,Demo Division,SEC-A01,Nagpur–Wardha,12.909,HIGH,ACTIVE,7,MEDIUM
S&-SEC-A01-016,S&T,Electronic Interlocking,Demo Division,SEC-A01,Nagpur–Wardha,61.183,HIGH,ACTIVE,7,LOW
S&-SEC-A01-017,S&T,Cable,Demo Division,SEC-A01,Nagpur–Wardha,77.544,HIGH,UNDER_MAINTENANCE,3,HIGH
S&-SEC-A01-018,S&T,Axle Counter,Demo Division,SEC-A01,Nagpur–Wardha,17.037,HIGH,ACTIVE,10,LOW
S&-SEC-A01-019,S&T,Track Circuit,Demo Division,SEC-A01,Nagpur–Wardha,4.842,HIGH,ACTIVE,1,HIGH
S&-SEC-A01-020,S&T,Track Circuit,Demo Division,SEC-A01,Nagpur–Wardha,37.194,HIGH,ACTIVE,1,LOW
EN-SEC-A02-001,ENGINEERING,Rail,Demo Division,SEC-A02,Wardha–Badnera,142.632,HIGH,ACTIVE,10,HIGH
EN-SEC-A02-002,ENGINEERING,Track Circuit Bond,Demo Division,SEC-A02,Wardha–Badnera,143.426,HIGH,UNDER_MAINTENANCE,2,LOW
EN-SEC-A02-003,ENGINEERING,Weld,Demo Division,SEC-A02,Wardha–Badnera,121.982,HIGH,ACTIVE,10,HIGH
EN-SEC-A02-004,ENGINEERING,Ballast,Demo Division,SEC-A02,Wardha–Badnera,127.929,HIGH,ACTIVE,15,MEDIUM
EN-SEC-A02-005,ENGINEERING,Weld,Demo Division,SEC-A02,Wardha–Badnera,128.865,HIGH,ACTIVE,4,MEDIUM
EN-SEC-A02-006,ENGINEERING,Ballast,Demo Division,SEC-A02,Wardha–Badnera,88.021,HIGH,ACTIVE,8,MEDIUM
EN-SEC-A02-007,ENGINEERING,Bridge Approach,Demo Division,SEC-A02,Wardha–Badnera,149.029,HIGH,ACTIVE,8,LOW
EN-SEC-A02-008,ENGINEERING,Turnout,Demo Division,SEC-A02,Wardha–Badnera,153.604,HIGH,ACTIVE,9,HIGH
EN-SEC-A02-009,ENGINEERING,Turnout,Demo Division,SEC-A02,Wardha–Badnera,98.202,HIGH,ACTIVE,15,HIGH
EN-SEC-A02-010,ENGINEERING,Weld,Demo Division,SEC-A02,Wardha–Badnera,106.11,HIGH,ACTIVE,8,LOW
EN-SEC-A02-011,ENGINEERING,Track Circuit Bond,Demo Division,SEC-A02,Wardha–Badnera,101.031,HIGH,ACTIVE,11,LOW
EN-SEC-A02-012,ENGINEERING,Sleeper,Demo Division,SEC-A02,Wardha–Badnera,148.727,HIGH,ACTIVE,15,HIGH
EN-SEC-A02-013,ENGINEERING,Sleeper,Demo Division,SEC-A02,Wardha–Badnera,86.849,HIGH,ACTIVE,12,LOW
EN-SEC-A02-014,ENGINEERING,Weld,Demo Division,SEC-A02,Wardha–Badnera,98.744,HIGH,ACTIVE,12,MEDIUM
EN-SEC-A02-015,ENGINEERING,Weld,Demo Division,SEC-A02,Wardha–Badnera,130.212,HIGH,ACTIVE,9,MEDIUM
