"Detection source","What it detects","Typical data sent to your platform","Priority for your project"
"USFD","Internal rail flaws, rail cracks, weld defects, hidden defects not visible from outside","Rail ID, km, flaw type, flaw severity, test date, operator/device ID, report file, confidence","P0"
"Track Recording Car (TRC)","Gauge, alignment, cross-level, twist, unevenness, ride quality, track geometry faults","Section, km range, geometry parameters, exception level, recording date, report","P0"
"OMS","Dynamic ride/oscillation abnormalities indicating geometry or track-condition issues","Train/vehicle, route, km, oscillation value, threshold breach, timestamp","P1"
"ITMS","Rail, sleeper, fastening, ballast, geometry, rail wear, clearance/infringement and visual component deficiencies","Images/video, AI alert type, km, rail profile/wear, geometry readings, confidence","P0"
"Machine vision / line-scan cameras","Missing/broken clips, sleeper damage, fastener defects, ballast condition, visible rail defects","Image ID, defect class, bounding box, km, confidence, camera/device ID","P1"
"Track patrol / keyman inspection","Broken rail, fractured weld, loose fittings, obstruction, drainage issue, ballast issue, trespass/debris","GPS/km, photo, voice/text report, defect category, patrol ID, timestamp","P0"
"Bridge inspection sensors","Structural movement, bearing condition, vibration, crack progression, water level","Bridge asset ID, sensor readings, threshold breach, images, timestamp","P2"
"Drone inspection","Embankment, bridge, culvert, slope, drainage, vegetation, trackside encroachment","Geotagged imagery/video, anomaly type, confidence, location","P2"
"Weather and flood sensors","High temperature, rainfall, wind, waterlogging, washout risk, flood risk","Sensor location, temperature/rainfall/water level, threshold event","P2"
"Hot weather rail monitoring","Rail temperature and possible buckling risk","Rail temperature, ambient temperature, stress risk index, km","P2"
